源ID,源类,基102原表行号,问题条目,问题归属,规则包湿法映射命中,已确认NH3终态问题,治理候选关联待核,已量化数值变化项数,已量化数值变化污染物,原治理名称,NH3当前终态,NH3按现协议应有终态,当前取用治理类别,原设备对应治理类别,当前类别候选数,原设备类别候选数,B0源污染物参照记录行号
SRC-RAW-CB4F7E76D2CA631D9689,火电热力,1518,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,2,33185；33186；33187；33188；33189；33190；33191；33192；33193
SRC-RAW-28F83065C75A8FF87FA8,工业锅炉,1580,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,3,0,6680；6681；6682；6683；6684；6685；6686；6687；6688
SRC-RAW-FF7C2F27803D71DC62B6,工业锅炉,1581,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,3,0,41843；41844；41845；41846；41847；41848；41849；41850；41851
SRC-RAW-A25F8714E2FF75BD237B,工业锅炉,1615,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,26840；26841；26842；26843；26844；26845；26846；26847；26848
SRC-RAW-336175CD9F6BE92DE5C8,工业锅炉,1616,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,8318；8319；8320；8321；8322；8323；8324；8325；8326
SRC-RAW-6E1BAD26A56C661C76BE,火电热力,1629,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,2,0,18128；18129；18130；18131；18132；18133；18134；18135；18136
SRC-RAW-71FD22952351AEE17C2B,火电热力,1664,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,18812；18813；18814；18815；18816；18817；18818；18819；18820
SRC-RAW-4A378BE015CC86255662,火电热力,1665,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,12179；12180；12181；12182；12183；12184；12185；12186；12187
SRC-RAW-A07A0EDF9CEC875B3A7A,火电热力,1668,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,26624；26625；26626；26627；26628；26629；26630；26631；26632
SRC-RAW-9A9CDE9913604456B3D5,火电热力,1669,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,3,25481；25482；25483；25484；25485；25486；25487；25488；25489
SRC-RAW-50E48C034B0B4C31D6F8,工业锅炉,1673,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,13160；13161；13162；13163；13164；13165；13166；13167；13168
SRC-RAW-A076DDED16ACAC5CF10B,工业锅炉,1674,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,26615；26616；26617；26618；26619；26620；26621；26622；26623
SRC-RAW-9D21F6C1391C94F6A7B5,工业锅炉,1675,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,25949；25950；25951；25952；25953；25954；25955；25956；25957
SRC-RAW-6F08F34F83FFCD505F03,工业锅炉,1713,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,18362；18363；18364；18365；18366；18367；18368；18369；18370
SRC-RAW-D967EBB87AF247CA7820,工业锅炉,1730,F02_湿式治理成分遗漏,规则包映射,True,False,False,0,,机械+湿法除尘法,,,,,,,35390；35391；35392；35393；35394；35395；35396；35397；35398
SRC-RAW-98A00F2B6AF1D22FE90B,工业锅炉,1739,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,25193；25194；25195；25196；25197；25198；25199；25200；25201
SRC-RAW-C2A07E8B37DA4337574A,火电热力,1752,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,31970；31971；31972；31973；31974；31975；31976；31977；31978
SRC-RAW-4B26B4131240357A1230,工业锅炉,1788,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,12359；12360；12361；12362；12363；12364；12365；12366；12367
SRC-RAW-AA2F2D14EF15706D5215,工业锅炉,1832,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,28010；28011；28012；28013；28014；28015；28016；28017；28018
SRC-RAW-05A3F69CD0063E32B769,工业锅炉,1833,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,929；930；931；932；933；934；935；936；937
SRC-RAW-A6EA64E9B35CD18BF4C2,工业锅炉,1835,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,27542；27543；27544；27545；27546；27547；27548；27549；27550
SRC-RAW-35478B3D508045C4B1D3,工业锅炉,1836,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,8615；8616；8617；8618；8619；8620；8621；8622；8623
SRC-RAW-67F8451E6D8ED28AA69A,工业锅炉,1837,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,17174；17175；17176；17177；17178；17179；17180；17181；17182
SRC-RAW-1B9F906F002B3B0C9461,工业锅炉,1838,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,4727；4728；4729；4730；4731；4732；4733；4734；4735
SRC-RAW-DE1C504FCD5A913A752B,工业锅炉,1839,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,36191；36192；36193；36194；36195；36196；36197；36198；36199
SRC-RAW-65F8A3AA58DBCA96FC6E,工业锅炉,1840,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,16886；16887；16888；16889；16890；16891；16892；16893；16894
SRC-RAW-F92F160DECAC98DECCC2,工业锅炉,1841,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,40745；40746；40747；40748；40749；40750；40751；40752；40753
SRC-RAW-9CD4BFD1780AF702BCCE,工业锅炉,1847,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,25886；25887；25888；25889；25890；25891；25892；25893；25894
SRC-RAW-46B0CDADAB674BDA4378,工业锅炉,1848,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,11648；11649；11650；11651；11652；11653；11654；11655；11656
SRC-RAW-9121992E803A49E9E205,工业锅炉,1849,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,23906；23907；23908；23909；23910；23911；23912；23913；23914
SRC-RAW-743F40101701DA67C278,工业锅炉,1850,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,19244；19245；19246；19247；19248；19249；19250；19251；19252
SRC-RAW-817513EC94EFE272C4E3,工业锅炉,1853,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,21404；21405；21406；21407；21408；21409；21410；21411；21412
SRC-RAW-F8F52823DF900D6EB1EF,工业锅炉,1854,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,40718；40719；40720；40721；40722；40723；40724；40725；40726
SRC-RAW-F08FAB80B6413ACB8598,工业锅炉,1855,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,39152；39153；39154；39155；39156；39157；39158；39159；39160
SRC-RAW-82AE6EB133FCA18EA008,工业锅炉,1857,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,21701；21702；21703；21704；21705；21706；21707；21708；21709
SRC-RAW-D2F87FB2ECBDF4439296,工业锅炉,1858,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,4,PM10；PM2.5；BC；OC,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,34292；34293；34294；34295；34296；34297；34298；34299；34300
SRC-RAW-B921109FB77E419C5D70,工业锅炉,1863,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,30386；30387；30388；30389；30390；30391；30392；30393；30394
SRC-RAW-37FA4AC21CF3D24B2557,工业锅炉,1866,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,9083；9084；9085；9086；9087；9088；9089；9090；9091
SRC-RAW-18E45A0318E3FFBF7B98,火电热力,1878,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,DZGL,GYGL,0,2,4196；4197；4198；4199；4200；4201；4202；4203；4204
SRC-RAW-646F4C05C12887870A23,工业锅炉,1879,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,16607；16608；16609；16610；16611；16612；16613；16614；16615
SRC-RAW-3130847D4368455A730B,工业锅炉,1883,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘脱硫,not_involved,calculated（经验零）,,,,,7976；7977；7978；7979；7980；7981；7982；7983；7984
SRC-RAW-B6D097FDD8C2330D09F8,工业锅炉,1885,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,30053；30054；30055；30056；30057；30058；30059；30060；30061
SRC-RAW-A7F3BCC4C40EE64E8A63,火电热力,1889,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,27668；27669；27670；27671；27672；27673；27674；27675；27676
SRC-RAW-80D290DDA79AA8B3BD4F,火电热力,1890,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,21260；21261；21262；21263；21264；21265；21266；21267；21268
SRC-RAW-54F9E46535B7EE312CBD,火电热力,1891,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,13925；13926；13927；13928；13929；13930；13931；13932；13933
SRC-RAW-0AF6331A11D3D11BD4D1,火电热力,1892,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,1784；1785；1786；1787；1788；1789；1790；1791；1792
SRC-RAW-75A7AB89B30441D1F77D,工业锅炉,1893,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,19370；19371；19372；19373；19374；19375；19376；19377；19378
SRC-RAW-21CAF03E52D608D455F5,工业锅炉,1895,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,5654；5655；5656；5657；5658；5659；5660；5661；5662
SRC-RAW-8A1B5935CC6200241332,工业锅炉,1897,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,22844；22845；22846；22847；22848；22849；22850；22851；22852
SRC-RAW-3042C63E9849155B0925,工业锅炉,1899,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,7868；7869；7870；7871；7872；7873；7874；7875；7876
SRC-RAW-0E15F50E5F976EAA1890,工业锅炉,1902,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,2333；2334；2335；2336；2337；2338；2339；2340；2341
SRC-RAW-E5BFCD7A29CEC2B7A216,工业锅炉,1904,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,37388；37389；37390；37391；37392；37393；37394；37395；37396
SRC-RAW-9C257CDB65577FEE6DF9,工业锅炉,1905,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,5,SO2；PM10；PM2.5；BC；OC,机械+湿法除尘脱硫,not_involved,calculated（经验零）,,,,,25733；25734；25735；25736；25737；25738；25739；25740；25741
SRC-RAW-8CBE27BA219BED5E4192,工业锅炉,1906,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,23339；23340；23341；23342；23343；23344；23345；23346；23347
SRC-RAW-AFDB2F69DD021732280B,工业锅炉,1909,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,28865；28866；28867；28868；28869；28870；28871；28872；28873
SRC-RAW-44A4C7A2B93159C1E3F9,工业锅炉,1911,F02_湿式治理成分遗漏,规则包映射,True,False,False,0,,机械+湿法除尘法,,,,,,,11288；11289；11290；11291；11292；11293；11294；11295；11296
SRC-RAW-36037EDD3D5B7E487309,工业锅炉,1916,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,8705；8706；8707；8708；8709；8710；8711；8712；8713
SRC-RAW-9EFC121F784DF5C6F78C,工业锅炉,1917,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,26264；26265；26266；26267；26268；26269；26270；26271；26272
SRC-RAW-447FBEA00511E8F78A82,工业锅炉,1918,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,11252；11253；11254；11255；11256；11257；11258；11259；11260
SRC-RAW-E21EA0C1A54C29600821,工业锅炉,1920,F02_湿式治理成分遗漏；F03_NH3终态判定,规则包映射；参照生成程序及核算引擎,True,True,False,0,,机械+湿法除尘法,not_involved,calculated（经验零）,,,,,36902；36903；36904；36905；36906；36907；36908；36909；36910
SRC-RAW-D416F9DD021BA74195D5,工业锅炉,2056,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,34499；34500；34501；34502；34503；34504；34505；34506；34507
SRC-RAW-1A019E18811F4036A320,工业锅炉,2097,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,4412；4413；4414；4415；4416；4417；4418；4419；4420
SRC-RAW-DBB8F6B93FFAAEBD7D49,工业锅炉,2116,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,35849；35850；35851；35852；35853；35854；35855；35856；35857
SRC-RAW-E0C077F6D14BF5A97FCF,工业锅炉,2305,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,36668；36669；36670；36671；36672；36673；36674；36675；36676
SRC-RAW-28715943841D3E2AA3FF,工业锅炉,2361,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,3,0,6581；6582；6583；6584；6585；6586；6587；6588；6589
SRC-RAW-54119B9BA5BEAAE4952E,工业锅炉,2362,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,3,0,13754；13755；13756；13757；13758；13759；13760；13761；13762
SRC-RAW-B51CDF0046C21231F1AC,工业锅炉,2363,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,3,0,29666；29667；29668；29669；29670；29671；29672；29673；29674
SRC-RAW-F1220029AD887E209B43,工业锅炉,2635,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,39242；39243；39244；39245；39246；39247；39248；39249；39250
SRC-RAW-7057245F3E3F239AD204,工业锅炉,2638,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,18551；18552；18553；18554；18555；18556；18557；18558；18559
SRC-RAW-FD79BD3BADBA834EA813,工业锅炉,2639,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,41483；41484；41485；41486；41487；41488；41489；41490；41491
SRC-RAW-0D301274CFA9EB4D2854,工业锅炉,2640,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,2189；2190；2191；2192；2193；2194；2195；2196；2197
SRC-RAW-335C1877B1077DD809D5,工业锅炉,2655,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,8300；8301；8302；8303；8304；8305；8306；8307；8308
SRC-RAW-1BF474C507E9F04CF42E,工业锅炉,2670,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,4799；4800；4801；4802；4803；4804；4805；4806；4807
SRC-RAW-5EB562E3FFA0E13B0AC2,工业锅炉,2686,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,3,15653；15654；15655；15656；15657；15658；15659；15660；15661
SRC-RAW-1FD4343BD9C1A56DAB29,工业锅炉,2687,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,6,5429；5430；5431；5432；5433；5434；5435；5436；5437
SRC-RAW-2978FB24041E22A2EE51,工业锅炉,2688,F04_治理候选关联待核,治理关联实现,False,False,True,0,,,,,GYGL,DZGL,0,6,6743；6744；6745；6746；6747；6748；6749；6750；6751
SRC-RAW-93B032DE97655D5110C6,工业锅炉,2695,F03_NH3终态判定,参照生成程序及核算引擎,False,True,False,0,,,not_involved,calculated（经验零）,,,,,24338；24339；24340；24341；24342；24343；24344；24345；24346
